Ref,Val,Package,PosX,PosY,Rot,Side
"K_0","KEYSW","MX-1U-NoLED",41.275000,-41.275000,0.000000,top
"K_1","KEYSW","MX-1U-NoLED",60.325000,-41.275000,0.000000,top
"K_2","KEYSW","MX-1U-NoLED",79.375000,-41.275000,0.000000,top
"K_3","KEYSW","MX-1U-NoLED",98.425000,-41.275000,0.000000,top
"K_4","KEYSW","MX-1U-NoLED",117.475000,-41.275000,0.000000,top
"K_5","KEYSW","MX-1U-NoLED",136.525000,-41.275000,0.000000,top
"K_6","KEYSW","MX-1U-NoLED",155.575000,-41.275000,0.000000,top
"K_7","KEYSW","MX-1U-NoLED",174.625000,-41.275000,0.000000,top
"K_8","KEYSW","MX-1U-NoLED",193.675000,-41.275000,0.000000,top
"K_9","KEYSW","MX-1U-NoLED",212.725000,-41.275000,0.000000,top
"K_10","KEYSW","MX-1U-NoLED",231.775000,-41.275000,0.000000,top
"K_11","KEYSW","MX-1U-NoLED",250.825000,-41.275000,0.000000,top
"K_12","KEYSW","MX-1.25U-NoLED",43.656250,-60.325000,0.000000,top
"K_13","KEYSW","MX-1U-NoLED",65.087500,-60.325000,0.000000,top
"K_14","KEYSW","MX-1U-NoLED",84.137500,-60.325000,0.000000,top
"K_15","KEYSW","MX-1U-NoLED",103.187500,-60.325000,0.000000,top
"K_16","KEYSW","MX-1U-NoLED",122.237500,-60.325000,0.000000,top
"K_17","KEYSW","MX-1U-NoLED",141.287500,-60.325000,0.000000,top
"K_18","KEYSW","MX-1U-NoLED",160.337500,-60.325000,0.000000,top
"K_19","KEYSW","MX-1U-NoLED",179.387500,-60.325000,0.000000,top
"K_20","KEYSW","MX-1U-NoLED",198.437500,-60.325000,0.000000,top
"K_21","KEYSW","MX-1U-NoLED",217.487500,-60.325000,0.000000,top
"K_22","KEYSW","MX-1.75U-NoLED",243.681250,-60.325000,0.000000,top
"K_23","KEYSW","MX-1.75U-NoLED",48.418750,-79.375000,0.000000,top
"K_24","KEYSW","MX-1U-NoLED",74.612500,-79.375000,0.000000,top
"K_25","KEYSW","MX-1U-NoLED",93.662500,-79.375000,0.000000,top
"K_26","KEYSW","MX-1U-NoLED",112.712500,-79.375000,0.000000,top
"K_27","KEYSW","MX-1U-NoLED",131.762500,-79.375000,0.000000,top
"K_28","KEYSW","MX-1U-NoLED",150.812500,-79.375000,0.000000,top
"K_29","KEYSW","MX-1U-NoLED",169.862500,-79.375000,0.000000,top
"K_30","KEYSW","MX-1U-NoLED",188.912500,-79.375000,0.000000,top
"K_31","KEYSW","MX-1.25U-NoLED",210.343750,-79.375000,0.000000,top
"K_32","KEYSW","MX-1U-NoLED",231.775000,-79.375000,0.000000,top
"K_33","KEYSW","MX-1U-NoLED",250.825000,-79.375000,0.000000,top
"K_34","KEYSW","MX-1.5U-NoLED",46.037500,-98.425000,0.000000,top
"K_35","KEYSW","MX-1U-NoLED",69.850000,-98.425000,0.000000,top
"K_36","KEYSW","MX-1.5U-NoLED",93.662500,-98.425000,0.000000,top
"K_37","KEYSW","MX-1U-NoLED",117.475000,-98.425000,0.000000,top
"K_38","KEYSW","MX-2.75U-ReversedStabilizers-NoLED",153.193750,-98.425000,0.000000,top
"K_39","KEYSW","MX-1U-NoLED",188.912500,-98.425000,0.000000,top
"K_40","KEYSW","MX-1U-NoLED",212.725000,-98.425000,0.000000,top
"K_41","KEYSW","MX-1U-NoLED",231.775000,-98.425000,0.000000,top
"K_42","KEYSW","MX-1U-NoLED",250.825000,-98.425000,0.000000,top
